"","Probability Score = High (3)","Probability Score = Moderate (2)","Probability Score = Low (1)","Weight","Comments"
"Productivity attribute 1","0","0","0.3","1",""
"Productivity attribute 2","0","0","0.3","1",""
"Productivity attribute 3","0","0","0.3","1",""
"Productivity attribute 4","0","0","0.3","1",""
"Productivity attribute 5","0","0","0.3","1",""
"Productivity attribute 6","0","0","0.3","1",""
"Productivity attribute 7","0","0","0.3","1",""
"Productivity attribute 8","0","0","0.3","1",""
"Productivity attribute 9","0","0","0.3","1",""
"Productivity attribute 10","0.3","0.4","0.3","1",""
"Susceptibility attribute 1","0","0","1","1",""
"Susceptibility attribute 2","0","0","1","1",""
"Susceptibility attribute 3","1","0","0","1",""
"Susceptibility attribute 4","0","0","1","1",""
"Susceptibility attribute 5","0","0","1","1",""
"Susceptibility attribute 6","0.3","0.4","0.3","1",""
"Susceptibility attribute 7","0.3","0.4","0.3","1",""
"Susceptibility attribute 8","0.3","0.4","0.3","1",""
"Susceptibility attribute 9","0.3","0.4","0.3","1",""
"Susceptibility attribute 10","0.3","0.4","0.3","1",""
"Susceptibility attribute 11","0.3","0.4","0.3","1",""
"Susceptibility attribute 12","0.3","0.4","0.3","1",""
